nimi_suomi,nimi_ruotsi,x,y,kunta
Terhirinne,Paddfotsbrinken,25501277.53,6688452.307,Vantaa
Kilterinkulma,Gillerkanten,25491949.9,6682808.356,Vantaa
Relanderinpiha,Relandersgården,25503063.77,6686775.994,Vantaa
Sahamäentie,Sågbacksvägen,25504984.68,6689009.514,Vantaa
Vetokuja,Draggränden,25493275.5,6684123.572,Vantaa
Taksvärkkipulkka,Dagsverkspulkan,25492787.99,6686114.234,Vantaa
Pallokuja,Bollgränden,25504851.99,6681798.727,Vantaa
Nybyggetinkuja,Nybyggesgränden,25510051.41,6685829.799,Vantaa
Vestranrinne,Västrabrinken,25486930.0,6690741.461,Vantaa
Rapuojantie,Krabbäcksvägen,25507809.09,6683573.587,Vantaa
Kaksoismännyntie,Dubbeltallsvägen,25490638.0,6695848.0,Vantaa
Kulokukonkuja,Bränntoppsgränden,25502695.3,6692669.971,Vantaa
Pellervonkuja,Pellervogränden,25505380.34,6689541.315,Vantaa
Päivättärentie,Päivätärvägen,25505671.44,6689466.591,Vantaa
Savimaantie,Savimaavägen,25504267.06,6694441.202,Vantaa
Sinikvartsinkatu,Blåkvartsgatan,25492241.0,6689757.0,Vantaa
Kuismakuja,Mannablodsgränden,25500717.52,6689018.026,Vantaa
Karrintie,Karrivägen,25489064.27,6695888.139,Vantaa
Kurkiparventie,Tranflocksvägen,25502701.0,6693210.0,Vantaa
Rahtikuja,Fraktgränden,25498611.01,6688627.403,Vantaa
Heinäkuja,Högränden,25489606.62,6684364.802,Vantaa
Härkävuorentie,Oxbergsvägen,25507644.63,6687368.462,Vantaa
Mäensyrjä,Backsluttningen,25486783.71,6690777.312,Vantaa
Esankuja,Esagränden,25504734.67,6690470.318,Vantaa
Harmaakiventie,Gråstensvägen,25491348.7,6690242.753,Vantaa
Halkokuja,Vedgränden,25487983.34,6686193.38,Vantaa
Kelopolku,Torrfurustigen,25509409.23,6685767.451,Vantaa
Kimalaisenpolku,Humlestigen,25507124.03,6691923.146,Vantaa
Kurkiparvenkuja,Tranflocksgränden,25502651.0,6693122.0,Vantaa
Marsinkuja,Marsgränden,25505398.97,6692141.629,Vantaa
